Gender,Age,Energy (kcal) Min,Energy (kcal) Max,Carbohydrate (g),Protein (g),Fiber (g),Added Sugar (low max),Added Sugar (high max),Sugar (g),Fat (low max),Fat (high max),Fat (g),Saturated Fat (low max),Saturated Fat (high max),Sodium (mg/d),Vit A (mg/d),Vit C (mg/d),Vit D (mg/d),Vit E (mg/d),Calcium (mg/d),Iron (mg/d),Magnesium (mg/d),Folate (mg/d)
Female,27,2000,2200,130,46,25,50,55,55,44,86,86,22,24,1500,500,60,10,12,1000,18,310,320
Female,28,2000,2200,130,46,25,50,55,55,44,86,86,22,24,1500,500,60,10,12,1000,18,310,320
Female,29,2000,2200,130,46,25,50,55,55,44,86,86,22,24,1500,500,60,10,12,1000,18,310,320
Female,30,2000,2200,130,46,25,50,55,55,44,86,86,22,24,1500,500,60,10,12,1000,18,310,320
Female,31,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,32,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,33,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,34,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,35,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,36,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,37,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,38,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,39,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,40,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,41,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,42,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,43,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,44,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,45,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,46,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,47,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,48,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,49,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,50,1800,2000,130,46,25,45,50,50,40,78,78,20,22,1500,500,60,10,12,1000,18,320,320
Female,51,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,52,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,53,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,54,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,55,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,56,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,57,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,58,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,59,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,60,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,61,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,62,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,63,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,64,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,65,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,66,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,67,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,68,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,69,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1300,500,60,10,12,1200,8,320,320
Female,70,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1200,500,60,10,12,1200,8,320,320
Female,71,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1200,500,60,10,12,1200,8,320,320
Female,72,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1200,500,60,10,12,1200,8,320,320
Female,73,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1200,500,60,10,12,1200,8,320,320
Female,74,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1200,500,60,10,12,1200,8,320,320
Female,75,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1200,500,60,10,12,1200,8,320,320
Female,76,1600,1800,130,46,21,40,45,45,36,70,70,18,20,1200,500,60,10,12,1200,8,320,320
