Year,Income,Age,Sample Size,Calories (kcal),Protein (g),Carbohydrate (g),Sugar (g),Fiber (g),Fat (g),Saturated Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Cholesterol (mg),Vitamin E (mg),Vitamin A (mg),Vitamin C (mg),Calcium (mg),Magnesium (mg),Iron (mg),Sodium (mg),Potassium (mg),Folate (mcg),Caffeine (mg),Alcohol (g)
2003,All,6-11,900,2115,71.1,289,147,13.1,77.9,27.6,28.9,15,226,5.6,575,82.1,1031,231,15.6,3170,2272,601,31.3,#*
2003,All,12-19,2162,2341,81.4,310,157,13.7,87.2,29.8,32.5,17.9,246,6.8,547,90.1,1030,248,16.5,3558,2429,589,59.2,#2.2
2003,All,20 and over,4448,2216,82.9,269,127,15.5,84,27.7,31.6,17.7,289,7.1,601,87.3,880,281,15.8,3478,2724,539,189.7,11.2
2003,All,2 and over,8273,2195,80.4,274,133,14.8,82.7,27.7,31,17.2,273,6.8,589,88.1,918,268,15.7,3408,2622,546,150.8,8.5
2005,"$0 - $24,999",2-5,346,1587,56.5,218,120,10.6,56.7,21.4,20,10.2,202,4.3,552,94.6,949,200,12.4,2284,2185,467,9.6,--
2005,"$0 - $24,999",6-11,306,1894,67.9,252,126,12.5,70.8,24.9,25.7,13.9,241,5.7,565,92.3,952,222,14.4,3096,2238,503,18.3,--
2005,"$0 - $24,999",12-19,708,2405,82.6,319,160,14,89.6,29.5,33,19.5,248,6.9,498,94.9,928,247,16.1,3697,2314,557,65.9,--
2005,"$0 - $24,999",20 and over,1416,2125,80.9,262,127,15,80,26.7,29.5,16.7,291,6.9,619,88.4,906,283,15.2,3299,2635,501,166.1,8.8
2005,"$0 - $24,999",2 and over,2776,2104,78.4,265,130,14.4,78.8,26.5,29,16.4,276,6.6,596,89.9,915,269,15.1,3260,2535,506,132,--
2005,"$25,000 - $74,999",2-5,362,1551,53.7,216,119,10.4,55.1,20.1,19.9,10.5,162,4.5,520,87.8,907,194,12.3,2197,2022,456,7.9,--
2005,"$25,000 - $74,999",6-11,431,1941,63.2,263,133,12.3,73.1,26,27,14.2,205,5.3,635,66,967,211,14.9,2946,1996,544,16.9,--
2005,"$25,000 - $74,999",12-19,866,2230,80.4,292,147,13.2,82.1,29,29.9,16.1,255,6.4,569,87.2,1030,247,16.3,3446,2297,573,56.4,--
2005,"$25,000 - $74,999",20 and over,1988,2184,82.9,262,119,15.5,83.6,28.5,30.8,17.3,283,7.1,603,84.7,938,296,15.9,3493,2682,537,195.6,11.4
2005,"$25,000 - $74,999",2 and over,3647,2139,79.7,263,123,14.8,81.2,27.9,29.9,16.6,268,6.7,598,83.8,948,279,15.7,3381,2556,537,157.7,--
2005,"$75,000 and higher",2-5,156,1578,52.1,225,115,11.2,54.3,19.4,20.3,10.4,140,4.1,490,75.6,872,191,12.1,2411,1890,449,5.2,--
2005,"$75,000 and higher",6-11,250,2099,71,277,138,14,81.7,29.1,30.1,15.9,249,6.1,690,74.7,1093,241,14.6,3209,2210,528,19.5,--
2005,"$75,000 and higher",12-19,452,2401,85.1,312,154,14.6,92.4,32.6,34.5,17.6,267,7,612,78.4,1095,267,17.5,3866,2506,591,56.2,--
2005,"$75,000 and higher",20 and over,944,2273,93.4,261,113,17.2,87.7,28.9,32.2,19,318,8.5,702,90.6,1054,338,17.5,3829,2974,588,201.2,13.6
2005,"$75,000 and higher",2 and over,1802,2238,87.9,268,121,16.2,86.1,29,31.7,18,295,7.8,679,86.5,1055,311,16.9,3700,2778,575,153.2,--
2005,All,2-5,902,1564,54.1,217,117,10.7,55.3,20.2,20,10.4,169,4.3,519,85.6,904,195,12.3,2270,2030,458,7.6,--
2005,All,6-11,1012,1985,67.1,265,133,13,75.5,26.8,27.7,14.7,230,5.7,641,75,1012,225,14.6,3083,2137,528,18.3,--
2005,All,12-19,2115,2324,82.4,304,152,13.9,87.2,30.3,32.1,17.4,257,6.7,566,86.5,1025,253,16.6,3637,2369,574,58.5,--
2005,All,20 and over,4520,2195,85.4,262,120,15.9,83.8,28.1,30.8,17.6,295,7.5,634,87.5,961,305,16.2,3531,2754,543,189.7,11.4
2005,All,2 and over,8549,2157,81.8,265,124,15.1,81.9,27.8,30.1,17,278,7.1,620,86.3,970,286,15.9,3436,2617,540,149.8,--
2007,"$0 - $24,999",2-5,295,1702,58.5,228,120,11.2,63.9,23,23.4,11.8,214,5.1,536,124.3,974,199,12.4,2457,2076,471,11.6,--
2007,"$0 - $24,999",6-11,378,2003,66.9,272,142,12.7,74.4,26.3,26.9,14.6,222,6,575,92.7,1002,216,13.9,2976,2173,501,21.8,--
2007,"$0 - $24,999",12-19,379,2025,71.1,269,132,13.5,73.9,24.8,27.4,15.5,221,6.4,508,85.7,882,233,13.6,3214,2136,512,66.7,--
2007,"$0 - $24,999",20 and over,1830,2002,76.3,248,118,14.5,74.3,25.1,27.1,15.5,280,6.5,562,82.6,881,269,13.9,3151,2442,502,177,8.5
2007,"$0 - $24,999",2 and over,2882,1988,74,251,121,14,73.7,25,26.9,15.2,265,6.4,555,86.1,896,257,13.8,3107,2365,501,142.7,--
2007,"$25,000 - $74,999",2-5,335,1473,52.4,203,109,10.6,52.5,19.6,18.9,9.5,182,4.3,579,82.1,955,190,10.5,2204,1949,405,9.4,--
2007,"$25,000 - $74,999",6-11,462,1922,67,251,123,12.6,74.7,26.8,27.2,14.4,226,5.9,549,67.8,965,213,13.3,3059,1985,503,30.5,--
2007,"$25,000 - $74,999",12-19,439,2212,79.9,290,134,14.8,82.8,28.2,30.7,16.8,282,6.9,560,78.3,1023,259,16.1,3681,2301,557,78,--
2007,"$25,000 - $74,999",20 and over,2112,2115,80.8,254,116,15.7,80.9,26.7,29.9,17.3,296,7.6,608,79.4,922,288,15.1,3479,2607,535,179.5,10.2
2007,"$25,000 - $74,999",2 and over,3348,2071,77.9,255,118,15.1,78.9,26.4,29.1,16.5,282,7.2,597,78.5,938,273,14.8,3390,2485,527,146.5,--
2007,"$75,000 and higher",2-5,152,1480,52.4,200,107,11.2,54.7,20.3,19.4,10.1,170,4.2,676,89.7,1070,196,10.8,2150,1984,400,4.3,--
2007,"$75,000 and higher",6-11,221,1907,65.4,265,137,13.2,67.6,23.6,24.8,13.3,194,6.2,605,87.9,940,220,13.7,2878,2051,496,21.6,--
2007,"$75,000 and higher",12-19,246,2128,80.7,276,136,13.1,80.1,28.5,29.4,15.3,268,7.2,685,76.1,1111,254,14.9,3511,2289,586,57.4,--
2007,"$75,000 and higher",20 and over,1055,2235,87,266,120,17.3,86.2,28.4,31.9,18.5,301,8.3,671,92.6,994,323,16.3,3670,2850,564,201.5,11.4
2007,"$75,000 and higher",2 and over,1674,2150,82.4,263,123,16,82,27.5,30.3,17.2,280,7.8,667,89.9,1009,298,15.6,3493,2659,552,156.1,--
2007,All,2-5,832,1526,53.6,208,110,10.9,55.7,20.4,20.1,10.3,184,4.5,590,96.2,985,193,11,2230,1984,415,8.3,--
2007,All,6-11,1121,1928,66.1,260,131,12.8,71.8,25.4,26.1,14.1,213,6,567,80.9,956,215,13.5,2933,2053,499,24.2,--
2007,All,12-19,1156,2145,78.3,281,135,14.1,80,27.7,29.4,16.1,262,6.9,604,80.3,1027,253,15.2,3505,2275,560,67.1,--
2007,All,20 and over,5420,2115,81.3,256,117,15.9,80.5,26.7,29.6,17.2,292,7.5,613,84.2,929,294,15.1,3430,2637,534,186,10.1
2007,All,2 and over,8529,2070,78.1,256,120,15.2,78.3,26.3,28.8,16.4,276,7.2,607,84.2,946,277,14.7,3330,2509,527,148.8,--
2009,"$0 - $24,999",2-5,347,1577,56.9,215,111,11.2,56.3,20.3,19.7,11,188,4.9,576,86.2,988,203,12.1,2383,2051,456,6.6,--
2009,"$0 - $24,999",6-11,373,1939,70.5,258,125,14.1,71.8,25,25.2,15.2,224,5.7,597,79.1,1046,229,13.6,3176,2280,510,17.5,--
2009,"$0 - $24,999",12-19,384,2128,76.9,280,135,13.6,78.6,26.3,27.8,17.5,237,7,537,82.8,1059,250,14.4,3439,2313,533,47.9,--
